BNF_ID,Expected_Book,Matched_Books,Found_Expected,Match_Count
OAI_10030933,0843IbnKhatibNasiriyya.DurrMuntakhab,0241IbnHanbal.MasailRiwayatCabdAllah,NO,1
OAI_10882524,0845Maqrizi.Mawaciz,,NO,0
OAI_10884186,0845Maqrizi,,NO,0
OAI_10884191,0845Maqrizi.Mawaciz,,NO,0
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0685NasirDinBaydawi.AnwarTanzil,YES,1
OAI_11000928,0874IbnTaghribirdi,,NO,0
OAI_11000947,0874IbnTaghribirdi.NujumZahira,,NO,0
OAI_11000949,0911Suyuti.HusnMuhadara,0911Suyuti.HusnMuhadara,YES,1
OAI_11000954,0845Maqrizi.Mawaciz,0845Maqrizi.Mawaciz,YES,1
OAI_11001068,0697IbnWasil.MufarrijKurub,0697IbnWasil.MufarrijKurub,YES,1
